Date,Time,Depth,Location,Site,Method,Replicate,Type,Observer,Species,Size,Count
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Thalassoma lunare,10--15,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Hemigymnus melapterus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Scarus rivulatus,15--20,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Fistularia sp,20--25,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Chlorurus spilurus,25--30,5
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Siganus doliatus,20--25,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,20 m,HFY,Lutjanus carponotatus,20--25,4
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Thalassoma lunare,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Hemigymnus melapterus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Chlorurus spilurus,25--30,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Chaetodon vagabundus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Scolopsis bilineata,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,1,30 m,HFY,Lethrinus harak,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Lethrinus harak,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Lutjanus carponotatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Hemigymnus melapterus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Plectropomus maculatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Chaetodon vagabundus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Chaetodon aureofasciatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Lethrinus harak,25--30,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,20 m,HFY,Scolopsis bilineata,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Lethrinus harak,25--30,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Scolopsis bilineata,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Scarus rivulatus,10--15,5
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Labroides dimidiatus,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Thalassoma lunare,10--15,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Plectropomus leopardus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,2,30 m,HFY,Cheilinus chlorurus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,Instant,HFY,Scarus rivulatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,Instant,HFY,Siganus doliatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,Instant,HFY,Lethrinus harak,25--30,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,Instant,HFY,Chaetodon baronessa,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Lethrinus harak,25--30,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Chaetodon lunulatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Hemigymnus melapterus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Labroides dimidiatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Lutjanus carponotatus,15--20,7
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Thalassoma lunare,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Lutjanus carponotatus,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Chlorurus spilurus,25--30,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Siganus doliatus,20--25,5
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Choerodon anchorago,15--20,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Labroides dimidiatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Scarus flavipectoralis,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Scolopsis monogramma,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,1,10 min,HFY,Acanthurus sp,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,Instant,HFY,Thalassoma lunare,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,Instant,HFY,Lethrinus harak,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,10 min,HFY,Thalassoma lunare,10--15,9
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,10 min,HFY,Lethrinus harak,20--25,9
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,10 min,HFY,Lutjanus carponotatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,10 min,HFY,Scolopsis bilineata,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Point,2,10 min,HFY,Hipposcarus longiceps,15--20,7
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Platax teira,45--50,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Labroides dimidiatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Thalassoma lunare,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Chelmon rostratus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Scolopsis bilineata,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Chaetodon aureofasciatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Acanthurus sp,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Lutjanus carponotatus,30--35,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Siganus doliatus,20--25,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,20 m,HFY,Platax teira,30--35,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Thalassoma lunare,10--15,3
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Scolopsis bilineata,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Chaetodon aureofasciatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Siganus doliatus,20--25,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Scolopsis margaritifera,25--30,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Scarus rivulatus,25--30,6
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Scarus rivulatus,30--35,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Hemigymnus melapterus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Pomacanthus sexstriatus,35--40,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Halichoeres marginatus,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Siganus doliatus,10--15,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Plectropomus maculatus,20--25,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Chaetodon baronessa,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Scarus flavipectoralis,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Cheilinus fasciatus,15--20,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Chaetodon auriga,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Acanthurus sp,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,3,30 m,HFY,Cephalopholis cyanostigma,10--15,1
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Scarus rivulatus,25--30,2
11/02/2023,,,Pioneer Bay,Central Pioneer Bay,Transect,4,20 m,HFY,Scolopsis bilineata,10--15,2
