species,a,b
Acanthurus blochii,0.02042,3
Acanthurus lineatus,0.0126,3.064
Acanthurus nigricauda,0.0312,2.759
Acanthurus sp,0.01929474,2.968847
Acanthurus xanthopterus,0.0301,2.88
Anampses caeruleopunctatus,0.00977,3.08
Anampses geographicus,0.00977,3.08
Anampses neoguinaicus,0.00977,3.08
Anyperodon leucogrammicus,0.02159,2.989
Arothron mappa,0.03715,2.86
Arothron stellatus,0.08105,2.84315
Bodianus axillaris,0.01202,3.05
Bodianus mesothorax,0.01202,3.05
Cephalopholis boenak,0.01665,3.022
Cephalopholis cyanostigma,0.019,2.96
Cephalopholis microprion,0.01698,3.1
Cetoscarus bicolor,0.01567,3
Cetoscarus ocellatus,0.0276,2.92
Chaetodon aureofasciatus,0.02291,3
Chaetodon auriga,0.0271,2.9965
Chaetodon baronessa,0.0448,2.828
Chaetodon ephippium,0.023,3.04
Chaetodon lineolatus,0.02291,2.94
Chaetodon lunula,0.02291,3
Chaetodon lunulatus,0.24099,2.099
Chaetodon melannotus,0.038,2.921
Chaetodon oxycephalus,0.02291,3
Chaetodon plebeius,0.02512,2.87
Chaetodon rafflesi,0.02291,3
Chaetodon rainfordi,0.02291,3
Chaetodon speculum,0.0257,2.97
Chaetodon trifascialis,0.0468,2.758
Chaetodon vagabundus,0.02042,2.98
Cheilinus chlorourus,0.0182,2.94
Cheilinus fasciatus,0.01487,3
Cheilinus trilobatus,0.0605,2.661
Cheilinus undulatus,0.0167,3.037
Chelmon rostratus,0.06856,2.7485
Chlorurus bleekeri,0.02754,3.01
Chlorurus microrhinos,0.0174,3.07
Chlorurus spilurus,0.01259,3.03
Choerodon anchorago,0.022,2.97
Choerodon fasciatus,0.01288,3.05
Choerodon graphicus,0.0145,3.125
Choerodon schoenleinii,0.0167825,3.052725
Chromileptes altivelis,0.01349,3.12
Cirrhilabrus punctatus,0.01585,2.95
Coradion altivelis,0.02239,3.01
Coradion chrysozonus,0.0468,2.758
Ctenochaetus striatus,0.0137,3.083
Diagramma pictum,0.0077,3.131
Diploprion bifasciatum,0.02455,3
Diploprion fasciatum,NA,NA
Epibulus insidiator,0.01646,3
Epinephelus fuscoguttatus,0.01047,3.03
Epinephelus caeruleopunctatus,0.01122,3
Epinephelus malabaricus,0.0165225,3.094525
Epinephelus quoyanus,0.014,3.04
Epinephelus sp,0.01798073,3.017635
Epiniphelus quoyanus,NA,NA
Fistularia sp,0.004738182,2.860427
Gomphosus varius,0.00504,3.189
Halichoeres chloropterus,0.016,2.87
Halichoeres marginatus,0.00913,3.207
Halichoeres melanurus,0.01091,3
Halichoeres trimaculatus,0.0227,2.804
Hemigymnus fasciatus,0.01713,3
Hemigymnus melapterus,0.01816,3
Heniochus acuminatus,0.0271,3.061
Heniochus diphreutes,0.02239,3.02
Hipposcarus longiceps,0.01545,3.06
Hipposcarus sp,0.01814167,2.975
Kyphosus cinerascens,0.0179,3
Kyphosus vaigiensis,0.01778,3
Labrichthys unilineatus,0.01503,3
Labroides dimidiatus,0.005955,3.142
Labropsis australis,0.00955,3.06
Lethrinus atkinsoni,0.01717,2.98105
Lethrinus harak,0.0152,3.0215
Lethrinus nebulosus,0.05473,2.722014286
Lutjanus carponotatus,0.02241,2.883566667
Lutjanus fulviflamma,0.048465,2.762575
Lutjanus fulvus,0.01514,2.97
Lutjanus gibbus,0.04232,2.64893
Lutjanus kasmira,0.0165,2.98
Lutjanus monostigma,0.01479,2.95
Lutjanus rivulatus,0.01784,3
Lutjanus russellii,0.01318,2.98
Lutjanus sebae,0.0081375,3.060525
Lutjanus vitta,0.0175225,3.0415
Naso unicornis,0.03665,2.8395
Oxycheilinus diagramma,0.01905,2.95
Oxymonacanthus longirostris,0.01319,3
Platax batavianus,0.0365,3
Platax orbicularis,0.0425,2.975
Platax pinnatus,0.02692,2.94
Platax teira,0.02692,2.94
Plectorhinchus chaetodonoides,0.01778,2.97
Plectorhinchus flavomaculatus,0.2697,2.2459
Plectorhinchus gibbosus,0.0396,2.761
Plectorhinchus lineatus,0.01202,3.01
Plectropomus leopardus,0.017223333,2.973866667
Plectropomus maculatus,0.008446667,3.148466667
Pomacanthus semicirculatus,0.0286,3
Pomacanthus sexstriatus,0.02924,3
Psammoperca waigiensis,0.01047,3.02
Scarus altipinnis,0.01895,3.025
Scarus chameleon,0.01445,3.03
Scarus dimidiatus,0.0138,3.13
Scarus flavipectoralis,0.02399,3.03
Scarus frenatus,0.01738,3.07
Scarus ghobban,0.0261,2.893
Scarus globiceps,0.01585,3.045
Scarus niger,0.02795,2.94
Scarus psittacus,0.0196,3.024333333
Scarus rivulatus,0.0184,3.058
Scarus schlegeli,0.0248,2.95
Scarus sp,0.01862429,3.040446
Scolopsis bilineata,0.0138,3.06
Scolopsis lineata,0.01622,2.99
Scolopsis margaritifera,0.01995,3.01
Scolopsis monogramma,0.01905,3.03
Siganus argenteus,0.01413,2.99
Siganus corallinus,0.01072,3.17
Siganus doliatus,0.01349,3.11
Siganus lineatus,0.01738,3
Siganus puellus,0.01093,3
Siganus punctatus,0.01825,3
Siganus vulpinus,0.01616,3
Sphyraena qenie,0.00724,2.92
Stethojulis bandanensis,0.013925,3.0385
Stethojulis strigiventer,0.0168,2.934
Stethojulis trilineata,0.00716,3.257
Symphorus nematophorus,0.051443333,2.789566667
Thalassoma hardwicke,0.01522,3.016666667
Thalassoma lunare,0.0183,2.862
Thalassoma nigrofasciatum,0.00955,3.06
Zebrasoma velifer,0.02399,2.93
