"Location","Family","Species"
"Fantome Island","Acanthuridae","Acanthurus lineatus"
"Fantome Island","Acanthuridae","Acanthurus nigricauda"
"Fantome Island","Acanthuridae","Acanthurus sp"
"Fantome Island","Acanthuridae","Ctenochaetus striatus"
"Fantome Island","Acanthuridae","Naso unicornis"
"Fantome Island","Chaetodontidae","Chaetodon aureofasciatus"
"Fantome Island","Chaetodontidae","Chaetodon auriga"
"Fantome Island","Chaetodontidae","Chaetodon baronessa"
"Fantome Island","Chaetodontidae","Chaetodon lineolatus"
"Fantome Island","Chaetodontidae","Chaetodon lunula"
"Fantome Island","Chaetodontidae","Chaetodon lunulatus"
"Fantome Island","Chaetodontidae","Chaetodon melannotus"
"Fantome Island","Chaetodontidae","Chaetodon oxycephalus"
"Fantome Island","Chaetodontidae","Chaetodon plebeius"
"Fantome Island","Chaetodontidae","Chaetodon rafflesi"
"Fantome Island","Chaetodontidae","Chaetodon rainfordi"
"Fantome Island","Chaetodontidae","Chaetodon spculum"
"Fantome Island","Chaetodontidae","Chaetodon trifascialis"
"Fantome Island","Chaetodontidae","Chaetodon vagabundus"
"Fantome Island","Chaetodontidae","Chelmon rostratus"
"Fantome Island","Chaetodontidae","Heniochus diphreutes"
"Fantome Island","Ephippidae","Platax batavianus"
"Fantome Island","Ephippidae","Platax orbicularis"
"Fantome Island","Ephippidae","Platax pinnatus"
"Fantome Island","Ephippidae","Platax teira"
"Fantome Island","Epinephelidae","Cephalopholis boenak"
"Fantome Island","Epinephelidae","Cephalopholis cyanostigma"
"Fantome Island","Epinephelidae","Epinephelus caeruleopunctatus"
"Fantome Island","Epinephelidae","Epinephelus malabaricus"
"Fantome Island","Epinephelidae","Epinephelus quoyanus"
"Fantome Island","Epinephelidae","Plectropomus leopardus"
"Fantome Island","Epinephelidae","Plectropomus maculatus"
"Fantome Island","Fistulariidae","Fistularia sp"
"Fantome Island","Haemulidae","Diagramma pictum"
"Fantome Island","Haemulidae","Plectorhinchus chaetodonoides"
"Fantome Island","Haemulidae","Plectorhinchus flavomaculatus"
"Fantome Island","Haemulidae","Plectorhinchus lineatus"
"Fantome Island","Kyphosidae","Kyphosus cinerascens"
"Fantome Island","Kyphosidae","Kyphosus vaigiensis"
"Fantome Island","Labridae","Anampses caeruleopunctatus"
"Fantome Island","Labridae","Anampses geographicus"
"Fantome Island","Labridae","Anampses neoguinaicus"
"Fantome Island","Labridae","Bodianus axillaris"
"Fantome Island","Labridae","Cetoscarus bicolor"
"Fantome Island","Labridae","Cetoscarus ocellatus"
"Fantome Island","Labridae","Cheilinus chlorourus"
"Fantome Island","Labridae","Cheilinus fasciatus"
"Fantome Island","Labridae","Cheilinus trilobatus"
"Fantome Island","Labridae","Chlorurus bleekeri"
"Fantome Island","Labridae","Chlorurus microrhinos"
"Fantome Island","Labridae","Chlorurus splurus"
"Fantome Island","Labridae","Choerodon anchorago"
"Fantome Island","Labridae","Choerodon fasciatus"
"Fantome Island","Labridae","Choerodon graphicus"
"Fantome Island","Labridae","Epibulus insidiator"
"Fantome Island","Labridae","Gomphosus varius"
"Fantome Island","Labridae","Halichoeres chloropterus"
"Fantome Island","Labridae","Halichoeres marginatus"
"Fantome Island","Labridae","Halichoeres melanurus"
"Fantome Island","Labridae","Halichoeres trimaculatus"
"Fantome Island","Labridae","Hemigymnus fasciatus"
"Fantome Island","Labridae","Hemigymnus melapterus"
"Fantome Island","Labridae","Hipposcarus longiceps"
"Fantome Island","Labridae","Hipposcarus sp"
"Fantome Island","Labridae","Labrichthys unilineatus"
"Fantome Island","Labridae","Labroides dimidiatus"
"Fantome Island","Labridae","Labropsis australis"
"Fantome Island","Labridae","Oxycheilinus diagramma"
"Fantome Island","Labridae","Scarus altipinnis"
"Fantome Island","Labridae","Scarus chameleon"
"Fantome Island","Labridae","Scarus dimidiatus"
"Fantome Island","Labridae","Scarus flavipectoralis"
"Fantome Island","Labridae","Scarus frenatus"
"Fantome Island","Labridae","Scarus ghobban"
"Fantome Island","Labridae","Scarus globiceps"
"Fantome Island","Labridae","Scarus niger"
"Fantome Island","Labridae","Scarus psittacus"
"Fantome Island","Labridae","Scarus rivulatus"
"Fantome Island","Labridae","Scarus schlegeli"
"Fantome Island","Labridae","Scarus sp"
"Fantome Island","Labridae","Stethojulis bandanensis"
"Fantome Island","Labridae","Stethojulis strigiventer"
"Fantome Island","Labridae","Stethojulis trilineata"
"Fantome Island","Labridae","Thalassoma hardwicke"
"Fantome Island","Labridae","Thalassoma lunare"
"Fantome Island","Labridae","Thalassoma nigrofasciatum"
"Fantome Island","Lethrinidae","Lethrinus harak"
"Fantome Island","Liopropomatidae","Diploprion bifasciatum"
"Fantome Island","Lutjanidae","Lutjanus carponotatus"
"Fantome Island","Lutjanidae","Lutjanus fulviflamma"
"Fantome Island","Lutjanidae","Lutjanus fulvus"
"Fantome Island","Lutjanidae","Lutjanus kasmira"
"Fantome Island","Lutjanidae","Lutjanus monostigma"
"Fantome Island","Lutjanidae","Lutjanus russellii"
"Fantome Island","Lutjanidae","Lutjanus sebae"
"Fantome Island","Lutjanidae","Lutjanus vitta"
"Fantome Island","Nemipteridae","Scolopsis bilineata"
"Fantome Island","Nemipteridae","Scolopsis lineata"
"Fantome Island","Nemipteridae","Scolopsis margaritifera"
"Fantome Island","Nemipteridae","Scolopsis monogramma"
"Fantome Island","Pomacanthidae","Pomacanthus semicirculatus"
"Fantome Island","Pomacanthidae","Pomacanthus sexstriatus"
"Fantome Island","Siganidae","Siganus argenteus"
"Fantome Island","Siganidae","Siganus corallinus"
"Fantome Island","Siganidae","Siganus doliatus"
"Fantome Island","Siganidae","Siganus lineatus"
"Fantome Island","Siganidae","Siganus puellus"
"Fantome Island","Siganidae","Siganus punctatus"
"Fantome Island","Sphyraenidae","Sphyraena qenie"
"Orpheus Island","Acanthuridae","Acanthurus blochii"
"Orpheus Island","Acanthuridae","Acanthurus sp"
"Orpheus Island","Acanthuridae","Acanthurus xanthopterus"
"Orpheus Island","Acanthuridae","Ctenochaetus striatus"
"Orpheus Island","Acanthuridae","Naso unicornis"
"Orpheus Island","Acanthuridae","Zebrasoma velifer"
"Orpheus Island","Chaetodontidae","Chaetodon aureofasciatus"
"Orpheus Island","Chaetodontidae","Chaetodon auriga"
"Orpheus Island","Chaetodontidae","Chaetodon baronessa"
"Orpheus Island","Chaetodontidae","Chaetodon ephippium"
"Orpheus Island","Chaetodontidae","Chaetodon lineolatus"
"Orpheus Island","Chaetodontidae","Chaetodon lunulatus"
"Orpheus Island","Chaetodontidae","Chaetodon melannotus"
"Orpheus Island","Chaetodontidae","Chaetodon oxycephalus"
"Orpheus Island","Chaetodontidae","Chaetodon plebeius"
"Orpheus Island","Chaetodontidae","Chaetodon rafflesi"
"Orpheus Island","Chaetodontidae","Chaetodon rainfordi"
"Orpheus Island","Chaetodontidae","Chaetodon vagabundus"
"Orpheus Island","Chaetodontidae","Chelmon rostratus"
"Orpheus Island","Chaetodontidae","Coradion altivelis"
"Orpheus Island","Chaetodontidae","Coradion chrysozonus"
"Orpheus Island","Chaetodontidae","Heniochus acuminatus"
"Orpheus Island","Ephippidae","Platax batavianus"
"Orpheus Island","Ephippidae","Platax pinnatus"
"Orpheus Island","Ephippidae","Platax teira"
"Orpheus Island","Epinephelidae","Anyperodon leucogrammicus"
"Orpheus Island","Epinephelidae","Cephalopholis boenak"
"Orpheus Island","Epinephelidae","Cephalopholis cyanostigma"
"Orpheus Island","Epinephelidae","Cephalopholis microprion"
"Orpheus Island","Epinephelidae","Chromileptes altivelis"
"Orpheus Island","Epinephelidae","Epinephelus caeruleopunctatus"
"Orpheus Island","Epinephelidae","Epinephelus fuscoguttatus"
"Orpheus Island","Epinephelidae","Epinephelus malabaricus"
"Orpheus Island","Epinephelidae","Epinephelus quoyanus"
"Orpheus Island","Epinephelidae","Epinephelus sp"
"Orpheus Island","Epinephelidae","Plectropomus leopardus"
"Orpheus Island","Epinephelidae","Plectropomus maculatus"
"Orpheus Island","Fistulariidae","Fistularia sp"
"Orpheus Island","Haemulidae","Diagramma pictum"
"Orpheus Island","Haemulidae","Plectorhinchus chaetodonoides"
"Orpheus Island","Haemulidae","Plectorhinchus gibbosus"
"Orpheus Island","Haemulidae","Plectorhinchus lineatus"
"Orpheus Island","Kyphosidae","Kyphosus cinerascens"
"Orpheus Island","Kyphosidae","Kyphosus vaigiensis"
"Orpheus Island","Labridae","Anampses geographicus"
"Orpheus Island","Labridae","Bodianus axillaris"
"Orpheus Island","Labridae","Bodianus mesothorax"
"Orpheus Island","Labridae","Cetoscarus ocellatus"
"Orpheus Island","Labridae","Cheilinus chlorourus"
"Orpheus Island","Labridae","Cheilinus fasciatus"
"Orpheus Island","Labridae","Cheilinus trilobatus"
"Orpheus Island","Labridae","Cheilinus undulatus"
"Orpheus Island","Labridae","Chlorurus bleekeri"
"Orpheus Island","Labridae","Chlorurus microrhinos"
"Orpheus Island","Labridae","Chlorurus splurus"
"Orpheus Island","Labridae","Choerodon anchorago"
"Orpheus Island","Labridae","Choerodon fasciatus"
"Orpheus Island","Labridae","Choerodon graphicus"
"Orpheus Island","Labridae","Choerodon schoenleinii"
"Orpheus Island","Labridae","Cirrhilabrus punctatus"
"Orpheus Island","Labridae","Epibulus insidiator"
"Orpheus Island","Labridae","Halichoeres chloropterus"
"Orpheus Island","Labridae","Halichoeres marginatus"
"Orpheus Island","Labridae","Halichoeres melanurus"
"Orpheus Island","Labridae","Hemigymnus fasciatus"
"Orpheus Island","Labridae","Hemigymnus melapterus"
"Orpheus Island","Labridae","Hipposcarus longiceps"
"Orpheus Island","Labridae","Labrichthys unilineatus"
"Orpheus Island","Labridae","Labroides dimidiatus"
"Orpheus Island","Labridae","Oxycheilinus diagramma"
"Orpheus Island","Labridae","Scarus altipinnis"
"Orpheus Island","Labridae","Scarus chameleon"
"Orpheus Island","Labridae","Scarus dimidiatus"
"Orpheus Island","Labridae","Scarus flavipectoralis"
"Orpheus Island","Labridae","Scarus frenatus"
"Orpheus Island","Labridae","Scarus ghobban"
"Orpheus Island","Labridae","Scarus niger"
"Orpheus Island","Labridae","Scarus psittacus"
"Orpheus Island","Labridae","Scarus rivulatus"
"Orpheus Island","Labridae","Scarus schlegeli"
"Orpheus Island","Labridae","Stethojulis strigiventer"
"Orpheus Island","Labridae","Thalassoma hardwicke"
"Orpheus Island","Labridae","Thalassoma lunare"
"Orpheus Island","Latidae","Psammoperca waigiensis"
"Orpheus Island","Lethrinidae","Lethrinus atkinsoni"
"Orpheus Island","Lethrinidae","Lethrinus harak"
"Orpheus Island","Lethrinidae","Lethrinus nebulosus"
"Orpheus Island","Liopropomatidae","Diploprion bifasciatum"
"Orpheus Island","Lutjanidae","Lutjanus carponotatus"
"Orpheus Island","Lutjanidae","Lutjanus fulviflamma"
"Orpheus Island","Lutjanidae","Lutjanus fulvus"
"Orpheus Island","Lutjanidae","Lutjanus gibbus"
"Orpheus Island","Lutjanidae","Lutjanus rivulatus"
"Orpheus Island","Lutjanidae","Lutjanus sebae"
"Orpheus Island","Lutjanidae","Symphorus nematophorus"
"Orpheus Island","Monacanthidae","Oxymonacanthus longirostris"
"Orpheus Island","Nemipteridae","Scolopsis bilineata"
"Orpheus Island","Nemipteridae","Scolopsis margaritifera"
"Orpheus Island","Nemipteridae","Scolopsis monogramma"
"Orpheus Island","Pomacanthidae","Pomacanthus semicirculatus"
"Orpheus Island","Pomacanthidae","Pomacanthus sexstriatus"
