"Day","Observer","Location","Distance_time","Replicate","block_ID","Biomass","Abundance","Richness","Genus_richness","Area"
11,"ACS","Orpheus_Island","10min",2,"11_2_ACS",2849.4278906368,25,9,9,78.5
11,"ACS","Orpheus_Island","10min",3,"11_3_ACS",9001.86630871676,50,11,10,78.5
11,"ACS","Orpheus_Island","20m",2,"11_2_ACS",5836.69105385745,9,5,5,100
11,"ACS","Orpheus_Island","20m",3,"11_3_ACS",13178.1499204433,17,8,7,100
11,"ACS","Orpheus_Island","30m",2,"11_2_ACS",7821.40833468771,15,9,8,150
11,"ACS","Orpheus_Island","30m",3,"11_3_ACS",3014.21322391591,18,9,8,150
11,"ACS","Orpheus_Island","50m",2,"11_2_ACS",13658.0993885452,24,11,9,250
11,"ACS","Orpheus_Island","50m",3,"11_3_ACS",16192.3631443593,35,14,11,250
11,"ACS","Orpheus_Island","Instant",2,"11_2_ACS",219.57266837742,7,4,4,78.5
11,"ACS","Orpheus_Island","Instant",3,"11_3_ACS",1642.69356120267,12,7,6,78.5
11,"HFY","Orpheus_Island","10min",1,"11_1_HFY",5939.92817593627,34,12,12,78.5
11,"HFY","Orpheus_Island","10min",2,"11_2_HFY",2620.92973740024,29,5,5,78.5
11,"HFY","Orpheus_Island","10min",3,"11_3_HFY",8213.14036210077,72,13,10,78.5
11,"HFY","Orpheus_Island","10min",4,"11_4_HFY",2577.09530509507,37,14,12,78.5
11,"HFY","Orpheus_Island","20m",1,"11_1_HFY",3443.61947101407,25,7,7,100
11,"HFY","Orpheus_Island","20m",2,"11_2_HFY",1504.49496051309,11,7,6,100
11,"HFY","Orpheus_Island","20m",3,"11_3_HFY",4487.99917475114,14,9,9,100
11,"HFY","Orpheus_Island","20m",4,"11_4_HFY",4211.31783006205,18,9,8,100
11,"HFY","Orpheus_Island","30m",1,"11_1_HFY",1263.40647011159,10,6,6,150
11,"HFY","Orpheus_Island","30m",2,"11_2_HFY",923.934727354006,20,7,7,150
11,"HFY","Orpheus_Island","30m",3,"11_3_HFY",7415.16149655745,29,16,12,150
11,"HFY","Orpheus_Island","30m",4,"11_4_HFY",6538.73849640159,27,12,9,150
11,"HFY","Orpheus_Island","50m",1,"11_1_HFY",4707.02594112566,35,10,10,250
11,"HFY","Orpheus_Island","50m",2,"11_2_HFY",2428.4296878671,31,12,10,250
11,"HFY","Orpheus_Island","50m",3,"11_3_HFY",11903.1606713086,43,20,16,250
11,"HFY","Orpheus_Island","50m",4,"11_4_HFY",10750.0563264636,45,17,13,250
11,"HFY","Orpheus_Island","Instant",1,"11_1_HFY",566.47453134606,4,4,4,78.5
11,"HFY","Orpheus_Island","Instant",2,"11_2_HFY",217.855814759855,3,2,2,78.5
11,"HFY","Orpheus_Island","Instant",3,"11_3_HFY",2635.06492970943,5,3,3,78.5
11,"HFY","Orpheus_Island","Instant",4,"11_4_HFY",781.576869842951,9,1,1,78.5
11,"SBT","Orpheus_Island","10min",1,"11_1_SBT",8864.26419392145,30,7,7,78.5
11,"SBT","Orpheus_Island","10min",2,"11_2_SBT",4392.0471822526,29,9,8,78.5
11,"SBT","Orpheus_Island","10min",3,"11_3_SBT",6594.18614785529,26,6,5,78.5
11,"SBT","Orpheus_Island","10min",4,"11_4_SBT",10213.282640338,49,8,7,78.5
11,"SBT","Orpheus_Island","20m",1,"11_1_SBT",3634.93113208864,21,9,8,100
11,"SBT","Orpheus_Island","20m",2,"11_2_SBT",6242.59938481484,23,13,11,100
11,"SBT","Orpheus_Island","20m",3,"11_3_SBT",8595.0563180755,24,9,7,100
11,"SBT","Orpheus_Island","20m",4,"11_4_SBT",11902.2944247293,68,8,7,100
11,"SBT","Orpheus_Island","30m",1,"11_1_SBT",3830.97959866859,19,12,11,150
11,"SBT","Orpheus_Island","30m",2,"11_2_SBT",7434.68868198659,24,11,7,150
11,"SBT","Orpheus_Island","30m",3,"11_3_SBT",42149.3604502637,60,12,12,150
11,"SBT","Orpheus_Island","30m",4,"11_4_SBT",3933.33301915184,34,10,9,150
11,"SBT","Orpheus_Island","50m",1,"11_1_SBT",7465.91073075723,40,13,12,250
11,"SBT","Orpheus_Island","50m",2,"11_2_SBT",13677.2880668014,47,19,13,250
11,"SBT","Orpheus_Island","50m",3,"11_3_SBT",50744.4167683392,84,16,13,250
11,"SBT","Orpheus_Island","50m",4,"11_4_SBT",15835.6274438811,102,12,11,250
11,"SBT","Orpheus_Island","Instant",1,"11_1_SBT",3583.2237644762,6,6,5,78.5
11,"SBT","Orpheus_Island","Instant",2,"11_2_SBT",4514.45046700474,12,6,5,78.5
11,"SBT","Orpheus_Island","Instant",3,"11_3_SBT",1019.18705135573,10,4,4,78.5
11,"SBT","Orpheus_Island","Instant",4,"11_4_SBT",2676.933957354,5,3,3,78.5
11,"SKC","Orpheus_Island","10min",1,"11_1_SKC",2931.18825390364,26,8,8,78.5
11,"SKC","Orpheus_Island","10min",2,"11_2_SKC",8382.99789094462,42,9,8,78.5
11,"SKC","Orpheus_Island","10min",3,"11_3_SKC",2257.83651604538,32,7,7,78.5
11,"SKC","Orpheus_Island","10min",4,"11_4_SKC",2652.02158873386,22,7,6,78.5
11,"SKC","Orpheus_Island","20m",1,"11_1_SKC",5937.05945778829,51,11,9,100
11,"SKC","Orpheus_Island","20m",2,"11_2_SKC",3260.77315899371,30,9,9,100
11,"SKC","Orpheus_Island","20m",3,"11_3_SKC",2291.46327021709,22,8,8,100
11,"SKC","Orpheus_Island","20m",4,"11_4_SKC",2649.59695606278,19,7,6,100
11,"SKC","Orpheus_Island","30m",1,"11_1_SKC",4330.31434889302,38,10,8,150
11,"SKC","Orpheus_Island","30m",2,"11_2_SKC",1335.65833097355,10,5,4,150
11,"SKC","Orpheus_Island","30m",3,"11_3_SKC",10474.1172719896,78,9,7,150
11,"SKC","Orpheus_Island","30m",4,"11_4_SKC",5861.86046113292,56,13,12,150
11,"SKC","Orpheus_Island","50m",1,"11_1_SKC",10267.3738066813,89,15,11,250
11,"SKC","Orpheus_Island","50m",2,"11_2_SKC",4596.43148996727,40,11,10,250
11,"SKC","Orpheus_Island","50m",3,"11_3_SKC",12765.5805422067,100,13,10,250
11,"SKC","Orpheus_Island","50m",4,"11_4_SKC",8511.4574171957,75,15,12,250
11,"SKC","Orpheus_Island","Instant",1,"11_1_SKC",1131.41122078625,9,5,4,78.5
11,"SKC","Orpheus_Island","Instant",2,"11_2_SKC",2543.15838844582,12,6,6,78.5
11,"SKC","Orpheus_Island","Instant",3,"11_3_SKC",924.788557150222,8,5,5,78.5
11,"SKC","Orpheus_Island","Instant",4,"11_4_SKC",330.523044784162,5,3,3,78.5
12,"ACS","Fantome_Island","10min",1,"12_1_ACS",14793.7377158088,78,9,6,78.5
12,"ACS","Fantome_Island","10min",2,"12_2_ACS",6501.9328428484,45,11,6,78.5
12,"ACS","Fantome_Island","10min",3,"12_3_ACS",8295.82435271663,19,12,10,78.5
12,"ACS","Fantome_Island","10min",4,"12_4_ACS",10977.9157494369,50,8,6,78.5
12,"ACS","Fantome_Island","20m",1,"12_1_ACS",9924.19986879611,40,8,7,100
12,"ACS","Fantome_Island","20m",2,"12_2_ACS",13716.3164135937,56,12,8,100
12,"ACS","Fantome_Island","20m",3,"12_3_ACS",3643.93418512598,27,10,8,100
12,"ACS","Fantome_Island","20m",4,"12_4_ACS",9706.79996733741,42,9,5,100
12,"ACS","Fantome_Island","30m",1,"12_1_ACS",4827.86858710746,30,12,9,150
12,"ACS","Fantome_Island","30m",2,"12_2_ACS",4708.85467383876,36,19,13,150
12,"ACS","Fantome_Island","30m",3,"12_3_ACS",4834.41836494806,33,11,8,150
12,"ACS","Fantome_Island","30m",4,"12_4_ACS",15608.7558625884,54,8,7,150
12,"ACS","Fantome_Island","50m",1,"12_1_ACS",14752.0684559036,70,17,12,250
12,"ACS","Fantome_Island","50m",2,"12_2_ACS",18425.1710874324,92,25,15,250
12,"ACS","Fantome_Island","50m",3,"12_3_ACS",8478.35255007404,60,17,10,250
12,"ACS","Fantome_Island","50m",4,"12_4_ACS",25315.5558299258,96,14,9,250
12,"ACS","Fantome_Island","Instant",1,"12_1_ACS",2409.59818302018,13,4,3,78.5
12,"ACS","Fantome_Island","Instant",2,"12_2_ACS",1771.02302562734,17,8,7,78.5
12,"ACS","Fantome_Island","Instant",3,"12_3_ACS",2709.565428199,10,7,5,78.5
12,"ACS","Fantome_Island","Instant",4,"12_4_ACS",598.497430944338,6,3,3,78.5
12,"HFY","Fantome_Island","10min",1,"12_1_HFY",3022.00041553968,54,13,11,78.5
12,"HFY","Fantome_Island","10min",2,"12_2_HFY",5528.92580436014,88,18,14,78.5
12,"HFY","Fantome_Island","10min",3,"12_3_HFY",3451.51089175223,54,8,7,78.5
12,"HFY","Fantome_Island","10min",4,"12_4_HFY",3114.38637241531,36,15,11,78.5
12,"HFY","Fantome_Island","20m",1,"12_1_HFY",3060.59332969782,30,10,6,100
12,"HFY","Fantome_Island","20m",2,"12_2_HFY",8809.63821927148,87,9,8,100
12,"HFY","Fantome_Island","20m",3,"12_3_HFY",1721.9071298965,33,13,9,100
12,"HFY","Fantome_Island","20m",4,"12_4_HFY",3349.50870467063,38,15,10,100
12,"HFY","Fantome_Island","30m",1,"12_1_HFY",6919.19683306958,66,13,8,150
12,"HFY","Fantome_Island","30m",2,"12_2_HFY",3063.06206731656,46,13,9,150
12,"HFY","Fantome_Island","30m",3,"12_3_HFY",2914.93645053322,48,15,10,150
12,"HFY","Fantome_Island","30m",4,"12_4_HFY",10410.1215469428,108,13,8,150
12,"HFY","Fantome_Island","50m",1,"12_1_HFY",9979.79016276741,96,17,9,250
12,"HFY","Fantome_Island","50m",2,"12_2_HFY",11872.700286588,133,15,11,250
12,"HFY","Fantome_Island","50m",3,"12_3_HFY",4636.84358042972,81,19,13,250
12,"HFY","Fantome_Island","50m",4,"12_4_HFY",13759.6302516134,146,23,13,250
12,"HFY","Fantome_Island","Instant",1,"12_1_HFY",1783.0771425948,43,2,2,78.5
12,"HFY","Fantome_Island","Instant",2,"12_2_HFY",617.122957396717,8,3,3,78.5
12,"HFY","Fantome_Island","Instant",3,"12_3_HFY",490.780489943571,6,5,4,78.5
12,"HFY","Fantome_Island","Instant",4,"12_4_HFY",88.379159467814,3,2,2,78.5
12,"SBT","Fantome_Island","10min",1,"12_1_SBT",7900.49657090388,76,17,9,78.5
12,"SBT","Fantome_Island","10min",2,"12_2_SBT",4331.09360367455,39,15,9,78.5
12,"SBT","Fantome_Island","10min",3,"12_3_SBT",15760.6446130436,46,16,13,78.5
12,"SBT","Fantome_Island","10min",4,"12_4_SBT",3447.88291864025,39,18,13,78.5
12,"SBT","Fantome_Island","20m",1,"12_1_SBT",2232.5326335204,13,11,7,100
12,"SBT","Fantome_Island","20m",2,"12_2_SBT",21928.8825943766,20,11,9,100
12,"SBT","Fantome_Island","20m",3,"12_3_SBT",8114.33754547898,9,9,7,100
12,"SBT","Fantome_Island","20m",4,"12_4_SBT",8630.86872772613,23,15,12,100
12,"SBT","Fantome_Island","30m",1,"12_1_SBT",5288.24063261534,21,11,9,150
12,"SBT","Fantome_Island","30m",2,"12_2_SBT",26328.0972603441,42,14,14,150
12,"SBT","Fantome_Island","30m",3,"12_3_SBT",17886.5947011526,55,11,10,150
12,"SBT","Fantome_Island","30m",4,"12_4_SBT",2547.86058944466,18,12,9,150
12,"SBT","Fantome_Island","50m",1,"12_1_SBT",7520.77326613574,34,18,11,250
12,"SBT","Fantome_Island","50m",2,"12_2_SBT",48256.9798547206,62,20,17,250
12,"SBT","Fantome_Island","50m",3,"12_3_SBT",26000.9322466316,64,16,12,250
12,"SBT","Fantome_Island","50m",4,"12_4_SBT",11178.7293171708,41,24,17,250
12,"SBT","Fantome_Island","Instant",1,"12_1_SBT",2094.54940579922,36,6,5,78.5
12,"SBT","Fantome_Island","Instant",2,"12_2_SBT",988.113939734648,8,3,3,78.5
12,"SBT","Fantome_Island","Instant",3,"12_3_SBT",4318.06164389765,9,5,5,78.5
12,"SBT","Fantome_Island","Instant",4,"12_4_SBT",3407.39537343067,13,6,6,78.5
12,"SKC","Fantome_Island","10min",1,"12_1_SKC",4293.16485725158,28,15,12,78.5
12,"SKC","Fantome_Island","10min",2,"12_2_SKC",9870.27315674595,125,13,9,78.5
12,"SKC","Fantome_Island","10min",3,"12_3_SKC",8264.96043550696,29,16,13,78.5
12,"SKC","Fantome_Island","10min",4,"12_4_SKC",3116.29822218387,33,15,11,78.5
12,"SKC","Fantome_Island","20m",1,"12_1_SKC",3302.24175514811,34,4,4,100
12,"SKC","Fantome_Island","20m",2,"12_2_SKC",3857.3463277221,39,12,8,100
12,"SKC","Fantome_Island","20m",3,"12_3_SKC",2239.39138019538,16,11,9,100
12,"SKC","Fantome_Island","20m",4,"12_4_SKC",13497.6951771048,94,17,13,100
12,"SKC","Fantome_Island","30m",1,"12_1_SKC",2897.22880545428,68,9,8,150
12,"SKC","Fantome_Island","30m",2,"12_2_SKC",6308.59952344135,66,11,8,150
12,"SKC","Fantome_Island","30m",3,"12_3_SKC",7443.20593807946,62,14,8,150
12,"SKC","Fantome_Island","30m",4,"12_4_SKC",2487.56205379193,18,12,8,150
12,"SKC","Fantome_Island","50m",1,"12_1_SKC",6199.47056060239,102,10,9,250
12,"SKC","Fantome_Island","50m",2,"12_2_SKC",10165.9458511634,105,18,12,250
12,"SKC","Fantome_Island","50m",3,"12_3_SKC",9682.59731827484,78,21,13,250
12,"SKC","Fantome_Island","50m",4,"12_4_SKC",15985.2572308967,112,23,15,250
12,"SKC","Fantome_Island","Instant",1,"12_1_SKC",2508.9966658489,24,4,3,78.5
12,"SKC","Fantome_Island","Instant",2,"12_2_SKC",1428.85391289814,11,6,5,78.5
12,"SKC","Fantome_Island","Instant",3,"12_3_SKC",1942.96099349582,6,4,4,78.5
12,"SKC","Fantome_Island","Instant",4,"12_4_SKC",1380.1863198791,8,6,6,78.5
13,"ACS","Fantome_Island","10min",1,"13_1_ACS",1245.99941323962,22,7,4,78.5
